endTime,artistName,trackName,msPlayed
9/2/20 15:26,The Gilded Playlist - An Indie Music Recommendation Podcast,S1E1 - Vegan Breakfast at a Community College,8575
9/2/20 15:26,The Gilded Playlist - An Indie Music Recommendation Podcast,Sick Riff Hall of Fame - Episode 2 - Bump Factor,220480
1/9/21 20:06,Binge Mode: Marvel,‘Harry Potter and the Half-Blood Prince’ Movie | Harry Potter,1507160
3/10/21 1:14,Big Sean,Bezerk (feat. A$AP Ferg),19163
3/10/21 1:14,Jack Harlow,Tyler Herro,156497
3/10/21 1:15,Aminé,Spice Girl,8960
3/10/21 1:18,BLEM,Go Up,203226
3/10/21 1:21,Roobby Dan,Through My Eyes,193632
3/10/21 1:24,Cladigal,Paper,154009
3/10/21 1:26,HIDDN,Like A G6 (feat. The Crushboys),151463
3/10/21 1:29,Lucky Luke,Cooler Than Me,179760
3/10/21 1:32,MOLOW,I Need A Dollar,168000
3/10/21 1:35,NIRON,Bounce,142500
3/10/21 1:37,Nippandab,Pill Of Love,160645
3/10/21 1:38,MEDUZA,Piece Of Your Heart,54709
4/13/21 20:52,Data Career Podcast,1: Welcome To The Data Career Podcast,51242
4/13/21 23:35,Data Career Podcast,2: Roshaan Khan: How To Make Stunning Data Visualizations,305856
4/28/21 3:45,The Joe Rogan Experience,#1630 - Dan Crenshaw,11082
4/28/21 3:53,The Joe Rogan Experience,#1620 - Nate Bargatze,6358
4/28/21 3:56,The Joe Rogan Experience,#1620 - Nate Bargatze,31
4/28/21 11:24,The Joe Rogan Experience,#1620 - Nate Bargatze,1344060
4/30/21 5:13,The Joe Rogan Experience,#1620 - Nate Bargatze,1947733
5/3/21 9:40,The Joe Rogan Experience,#1620 - Nate Bargatze,8014047
5/3/21 13:34,The Joe Rogan Experience,JRE MMA Show #106 with Leon Edwards,5634686
5/4/21 5:12,The Joe Rogan Experience,#1625 - Demi Lovato,5257924
5/5/21 9:42,The Joe Rogan Experience,#1600 - Lex Fridman,11493625
5/5/21 10:39,The Joe Rogan Experience,#1601 - Brian Redban,2874207
5/5/21 13:44,The Joe Rogan Experience,#1601 - Brian Redban,31488
5/5/21 22:22,One Fold,Dillon Papenfuss: Being Gay & Navigating Belonging,165354
5/7/21 19:30,One Fold,Dillon Papenfuss: Being Gay & Navigating Belonging,1938517
5/7/21 21:03,The Bill Simmons Podcast,"Best NBA Late-Season Story Lines, Plus Theo Epstein’s First Appearance",2185647
5/7/21 21:08,The Bill Simmons Podcast,"A Full-Fledged Jokic-Gasm With Kevin O’Connor and J. Kyle Mann. Plus, Jake Tapper on Post-Trump TV Life.",274649
5/7/21 22:03,The Bill Simmons Podcast,"A Full-Fledged Jokic-Gasm With Kevin O’Connor and J. Kyle Mann. Plus, Jake Tapper on Post-Trump TV Life.",919149
5/8/21 4:12,The Marketing Secrets Show,Faith Vs Fear: Moving With Definitive Purpose,497510
5/8/21 4:42,Impaulsive with Logan Paul,E259 Mike & Lana Broke Up (Officially),1231888
5/8/21 5:28,Wait Wait... Don't Tell Me!,Tariq Trotter AKA Black Thought from The Roots,22500
5/9/21 0:40,Wait Wait... Don't Tell Me!,Tariq Trotter AKA Black Thought from The Roots,1232515
5/9/21 0:46,The Marketing Secrets Show,2CCX Challenge 2: Publish Daily For Your Existing Audience,388298
5/9/21 1:10,The Marketing Secrets Show,"2CCX Challenge 3: Do 100 ""Speeches"" To Other People’s Audiences",836742
5/9/21 1:14,The Marketing Secrets Show,2CCX Challenge 4: Find A New Product Origin Story...,193424
5/9/21 1:27,The Marketing Secrets Show,2CCX Challenge 5: Test The New Control,796644
5/9/21 1:37,The Marketing Secrets Show,NEW SOFTWARE: The Only Other Software I Use EVERY Day,585028
5/9/21 4:15,The Ringer NBA Show,"LaMelo’s Creativity, Michael Porter Jr.’s Development, and All-Rookie Teams | Ringer NBA University",1927
5/9/21 4:22,The Ringer NBA Show,"LaMelo’s Creativity, Michael Porter Jr.’s Development, and All-Rookie Teams | Ringer NBA University",337372
5/9/21 13:49,The Ringer NBA Show,"LaMelo’s Creativity, Michael Porter Jr.’s Development, and All-Rookie Teams | Ringer NBA University",823077
5/9/21 15:07,"Follow Him: A Come, Follow Me Podcast featuring Hank Smith & John Bytheway",Doctrine & Covenants 46-48 : Dr. Ron Bartholomew Part I,2049674
5/9/21 16:19,"Follow Him: A Come, Follow Me Podcast featuring Hank Smith & John Bytheway",Doctrine & Covenants 46-48 : Dr. Ron Bartholomew Part II,2704993
5/9/21 16:19,"Follow Him: A Come, Follow Me Podcast featuring Hank Smith & John Bytheway",Doctrine & Covenants 46-48 : follow HIM Favorites,6605
5/9/21 16:21,This is the Gospel Podcast,Letting the Light In,2368
5/9/21 16:51,This is the Gospel Podcast,Consider the Lilies,1781992
5/9/21 21:52,"Follow Him: A Come, Follow Me Podcast featuring Hank Smith & John Bytheway",Doctrine & Covenants 49-50 : Dr. Lili De Hoyos Anderson Part I,1138311
5/11/21 3:46,The Bill Simmons Podcast,"A Westbrook Debate, NBA Sleepers, Unbreakable Records, and LaMelo Sliding Doors With Ryen Russillo",6045
5/11/21 5:35,The Bill Simmons Podcast,"A Westbrook Debate, NBA Sleepers, Unbreakable Records, and LaMelo Sliding Doors With Ryen Russillo",6393149
5/11/21 5:50,The Bill Simmons Podcast,"All-NBA Arguments, Milwaukee’s Best, CP3 Groundhog Day, and a Rodgers Intervention With Ryen Russillo",21470
5/11/21 7:34,The Bill Simmons Podcast,"All-NBA Arguments, Milwaukee’s Best, CP3 Groundhog Day, and a Rodgers Intervention With Ryen Russillo",5969006
5/11/21 8:14,The Bill Simmons Podcast,"All-NBA Arguments, Milwaukee’s Best, CP3 Groundhog Day, and a Rodgers Intervention With Ryen Russillo",2310580
5/11/21 8:59,The Bill Simmons Podcast,"A Full-Fledged Jokic-Gasm With Kevin O’Connor and J. Kyle Mann. Plus, Jake Tapper on Post-Trump TV Life.",2636604
5/11/21 9:18,The Bill Simmons Podcast,"Best NBA Late-Season Story Lines, Plus Theo Epstein’s First Appearance",1155597
5/11/21 14:10,The Bill Simmons Podcast,"Best NBA Late-Season Story Lines, Plus Theo Epstein’s First Appearance",27469
5/12/21 5:19,The Ringer NBA Show,Regular-Season Awards Ballot | Group Chat,4565106
5/12/21 9:13,The Ringer NBA Show,Ranking the Top 25 Players in the NBA | Group Chat,23430
5/12/21 9:36,The Ringer NBA Show,Ranking the Top 25 Players in the NBA | Group Chat,1342849
5/12/21 10:32,The Ringer NBA Show,Ranking the Top 25 Players in the NBA | Group Chat,3230861
5/12/21 14:10,The Marketing Secrets Show,"""Outwitting The Devil"" with Josh Forti - Part 1 of 3",1644788
5/12/21 14:11,The Marketing Secrets Show,"""Outwitting The Devil"" with Josh Forti - Part 2 of 3",46401
5/13/21 5:31,Brian Windhorst & The Hoop Collective,"Favorable Playoff Matchups for the Jazz, Lakers & The Play-In Tourney, NBA Tank-O-Thon",3266103
5/13/21 6:56,Brian Windhorst & The Hoop Collective,The Future Is Bright,3243690
5/13/21 7:52,Brian Windhorst & The Hoop Collective,"Favorable Playoff Matchups for the Jazz, Lakers & The Play-In Tourney, NBA Tank-O-Thon",3266103
5/13/21 13:04,The Iced Coffee Hour,GOING ALL IN ON DOGECOIN: $2.5 MILLION DOLLARS,3397948
5/13/21 14:26,LinkedInformed. The LinkedIn Show,Working with Influencers on LinkedIn,1457876
5/13/21 21:23,LinkedInformed. The LinkedIn Show,Telling it like it is on LinkedIn!,2786
5/13/21 21:23,LinkedInformed. The LinkedIn Show,Working with Influencers on LinkedIn,257323
5/13/21 21:26,LinkedInformed. The LinkedIn Show,Working with Influencers on LinkedIn,201642
5/13/21 21:38,LinkedInformed. The LinkedIn Show,Telling it like it is on LinkedIn!,627449
5/13/21 21:44,LinkedIn Leverage,How to Easily Avoid Wasting Your LinkedIn Profile Views,334228
5/13/21 21:54,LinkedIn Leverage,Do Not Waste Your Valuable Energy on LinkedIn Stories,539120
5/13/21 22:07,STANDOUT on LinkedIn,Falling in Love with your Vanity Metrics on LinkedIn ,333438
5/14/21 4:56,The Bill Simmons Podcast,"A Big NBA Weekend With Jackie MacMullan, NFL Schedule Chicanery With Warren Sharp, and Andrew McCarthy on '80s-Movies Stardom",1207
5/14/21 7:28,The Bill Simmons Podcast,"A Big NBA Weekend With Jackie MacMullan, NFL Schedule Chicanery With Warren Sharp, and Andrew McCarthy on '80s-Movies Stardom",1406799
5/14/21 22:02,Brian Windhorst & The Hoop Collective,"Oladipo's Out, Fertitta All-In On Rockets, Mid-Season Tournament ",2544651
5/15/21 1:34,The Bill Simmons Podcast,"A Big NBA Weekend With Jackie MacMullan, NFL Schedule Chicanery With Warren Sharp, and Andrew McCarthy on '80s-Movies Stardom",1887335
5/15/21 2:21,The Bill Simmons Podcast,"A Big NBA Weekend With Jackie MacMullan, NFL Schedule Chicanery With Warren Sharp, and Andrew McCarthy on '80s-Movies Stardom",1596052
5/15/21 2:21,The Ringer NBA Show,Regular-Season Awards Ballot | Group Chat,5921
5/15/21 2:44,The Ringer NBA Show,So Your Team's Not Gonna Make the Postseason. Now What? | The Answer,1350008
5/15/21 2:46,The Ringer NBA Show,So Your Team's Not Gonna Make the Postseason. Now What? | The Answer,84218
5/15/21 5:18,An Oral History of The Office,12. Beauty in Ordinary Things,461866
5/15/21 14:12,An Oral History of The Office,12. Beauty in Ordinary Things,349320
5/15/21 14:22,An Oral History of The Office,12. Beauty in Ordinary Things,530899
5/15/21 14:43,An Oral History of The Office,12. Beauty in Ordinary Things,706185
5/15/21 17:37,VIEWS with David Dobrik & Jason Nash,Charli And Dixie On Being Famous Sisters,1707506
5/15/21 17:47,The Marketing Secrets Show,"""Outwitting The Devil"" with Josh Forti - Part 2 of 3",370009
5/15/21 17:53,The CEO Teacher Podcast,Kajabi Summit Recap: Stepping Out of Your Comfort Zone,344748
5/15/21 17:56,Clout101 - The Marketing Strategy Podcast,"3: Ruby Asabor on Leveraging Kajabi, YouTube + Making 7-Figures During COVID",176587
5/15/21 18:23,You Inc. Podcast,"009 - Leah McHenry ""How to become a Kajabi Millionaire!""",787314
5/16/21 2:27,You Inc. Podcast,"009 - Leah McHenry ""How to become a Kajabi Millionaire!""",1059968
5/16/21 6:25,Wait Wait... Don't Tell Me!,Senator Elizabeth Warren,2325408
5/16/21 7:52,Wait Wait... Don't Tell Me!,Senator Elizabeth Warren,1807861
5/16/21 10:03,Wait Wait... Don't Tell Me!,André De Shields,2938408
