"endTime,artistName,trackName,msPlayed"
"2022-06-03 15:00,Basketball Illuminati,Strus Tellers,906310"
"2022-06-04 04:36,Basketball Illuminati,Strus Tellers,943739"
"2022-06-04 04:42,Basketball Illuminati,Basketball Illuminati Trailer,65032"
"2022-06-04 04:43,Basketball Illuminati,Checks and Balances,53225"
"2022-06-04 05:13,Basketball Illuminati,Conservation Of Points,1836265"
"2022-06-04 05:15,Basketball Illuminati,Zion's Landing,97346"
"2022-06-04 06:09,Basketball Illuminati,Westbr**k,3224804"
"2022-06-04 07:07,Basketball Illuminati,The Media Gets Sacked,3493578"
"2022-06-04 07:08,Basketball Illuminati,Maratatouille,66861"
"2022-06-04 11:35,Basketball Illuminati,The Scape-GOAT,981572"
"2022-06-04 14:19,The Draymond Green Show,The Draymond Green Show - NBA Finals Game 1 Recap + Mailbag,2302465"
"2022-06-04 14:19,Batman Unburied,09. Box in the Ground,10220"
"2022-06-04 14:22,Batman Unburied,09. Box in the Ground,73869"
"2022-06-04 14:25,Luke Combs,Cold As You,186106"
"2022-06-04 14:29,Luke Combs,Every Little Bit Helps,247826"
"2022-06-04 14:33,Luke Combs,Memories Are Made Of,216666"
"2022-06-04 14:36,Luke Combs,Hurricane,222533"
"2022-06-04 14:39,Luke Combs,One Number Away,161156"
"2022-06-04 15:32,The Ringer NBA Show,NBA Finals Game 1 Reactions | The Answer,1172"
"2022-06-04 16:09,The Ringer NBA Show,NBA Finals Game 1 Reactions | The Answer,1856300"
"2022-06-04 16:56,The Ringer NBA Show,NBA Finals Game 1 Reactions | The Answer,58638"
"2022-06-04 21:24,Batman Unburied,09. Box in the Ground,563536"
"2022-06-04 21:35,Batman Unburied,09. Box in the Ground,589034"
"2022-06-04 21:35,Batman Unburied,10. In the Soil,10400"
"2022-06-04 22:10,Batman Unburied,10. In the Soil,1822934"
"2022-06-04 23:23,Rogue Theory: A New Rockstars Podcast,Stranger Things Ending & Season 4 Theories! #RogueTheory,100590"
"2022-06-04 23:33,The Joe Rogan Experience,#1824 - Lex Fridman,584176"
"2022-06-04 23:36,Jocko Podcast,336: Your Superpower. How To Get It. How To Use It.,108630"
"2022-06-04 23:37,How to Talk to People,Starting Over When You Think It's Too Late,2450"
"2022-06-04 23:38,Just B with Bethenny Frankel,Jesse Itzler,44720"
"2022-06-05 01:06,Dropping Bombs,Jesse Itzler: The Secret to Attracting Luck. Episode 347 with The Real Brad Lea (TRBL),2858720"
"2022-06-05 02:17,The Bill Simmons Podcast,""A Huge Celts Comeback with Haralabos Voulgaris, Plus Adam Sandler on 30 Years of Comedies and Making ‘Hustle’"",1279944"
"2022-06-05 02:19,The Bill Simmons Podcast,""A Huge Celts Comeback with Haralabos Voulgaris, Plus Adam Sandler on 30 Years of Comedies and Making ‘Hustle’"",136671"
"2022-06-05 05:14,Jalen & Jacoby,Huge Role Player Games For Boston,1266811"
"2022-06-05 06:18,The Lowe Post,Doris Burke,3805976"
"2022-06-05 14:54,""Follow Him: A Come, Follow Me Podcast"",Ruth ; Samuel 1-3 -- Part 1 : Dr. Gaye Strathearn,89130"
"2022-06-06 03:22,Call Her Daddy,Olivia Ponton: Happy Pride! (Summer Series) [VIDEO] ,39646"
"2022-06-06 05:15,No Buffs | Survivor 44 Podcast,No Buffs | Survivor 42 — Ep. 13 Finale & After Show Recap (with Jason Concepcion),5845043"
"2022-06-06 12:43,The Bill Simmons Podcast,""The Warriors Strike Back, Kyrie Destinations, and Sacramento on the Clock With Ryen Russillo"",1070"
"2022-06-06 13:36,The Bill Simmons Podcast,""The Warriors Strike Back, Kyrie Destinations, and Sacramento on the Clock With Ryen Russillo"",3091470"
"2022-06-06 13:47,The Bill Simmons Podcast,""The Warriors Strike Back, Kyrie Destinations, and Sacramento on the Clock With Ryen Russillo"",403326"
"2022-06-06 18:48,The Bill Simmons Podcast,""The Warriors Strike Back, Kyrie Destinations, and Sacramento on the Clock With Ryen Russillo"",1368873"
"2022-06-06 23:58,The Bill Simmons Podcast,""The Warriors Strike Back, Kyrie Destinations, and Sacramento on the Clock With Ryen Russillo"",1385810"
"2022-06-06 23:59,QtamO,A kind of magic,8779"
"2022-06-06 23:59,Aicha Sun,Inner Monologue,5175"
"2022-06-06 23:59,Chill Work Music,Copyright Free Music,21429"
"2022-06-07 00:01,Musway Studio,""Upbeat (No Copyright Music), Ver. 1"",136029"
"2022-06-07 00:02,Musway Studio,Inspirational Epic (No Copyright Music) - Ver. 3,38780"
"2022-06-07 00:04,Conti Music,Corporate Identity (Light Royalty Free Music),113992"
"2022-06-07 00:06,Liborio Conti,Epic Adventure Action,112771"
"2022-06-07 00:07,DepasRec,Weird AD Show (Interwoven Piano Background),104501"
"2022-06-07 00:09,MaxKoMusic,Awards Ceremony,119814"
"2022-06-07 00:12,Musway Studio,Cinematic Epic (No Copyright Music) - Ver. 1,139808"
"2022-06-07 00:13,The Pennace,Think About Dreams,59814"
"2022-06-07 00:14,Conti Music,Whistling Happiness (Upbeat Royalty Free Music),97135"
"2022-06-07 00:16,Wanted Carter,Non Copyright Background Music Free To Use NCS Sounds Inspiring For Youtube Presentations Studying Relaxation Music Emotional Inspiring for Relaxation Meditation Romantic Music,96053"
"2022-06-07 00:18,Buford Bauman,I'm Not Sorry,119814"
"2022-06-07 00:20,DepasRec,Upbeat positive motivational electronic,143891"
"2022-06-07 00:23,Musway Studio,Piano and Strings (No Copyright Music) - Ver. 1,144812"
"2022-06-07 00:24,Gibson Kawago,Non Copyright Background Music For Youtube Presentations Travelling Studying Music Emotional Inspiring for Presentations TCE,83877"
"2022-06-07 00:26,Conti Music,Inspiring Acoustics (Light Royalty Free Music),117888"
"2022-06-07 00:28,Action Alexi,Corporate Background,129823"
"2022-06-07 00:30,MFCC,Awards Ceremony Music,73142"
"2022-06-07 00:31,DepasRec,Inspirational happy love background music,96087"
"2022-06-07 00:34,Musway Studio,Happy (No Copyright Music) - Ver. 1,147807"
"2022-06-07 00:35,Turn Back Time,Revenge,68415"
"2022-06-07 00:37,Conti Music,Epic Orchestra (Epic Royalty Free Music),138720"
"2022-06-07 00:40,SLPSTRM,Silent Bloom,181212"
"2022-06-07 00:42,Florews,Joyful,126299"
"2022-06-07 00:44,DepasRec,Optimistic Energetic Music,123307"
"2022-06-07 00:47,Musway Studio,""Trailer (No Copyright Music), Ver. 1"",165826"
"2022-06-07 00:49,Romansenykmusic,Inspiring Uplifting Motivational Cinematic,118936"
"2022-06-07 00:52,Conti Music,It's a Beautiful Life (Inspiring Royalty Free Music),147511"
"2022-06-07 00:53,Wanted Carter,Sad LoFi Hip Hop Beat to study relax sleep to chilled cow,63164"
"2022-06-07 00:55,Sound Gallery by Dmitry Taras,Award Ceremony,171636"
"2022-06-07 00:58,DepasRec,Corporate Technology (Business Background Music),139479"
"2022-06-07 01:00,Carmen King,Osorath Enclave,39822"
"2022-06-07 01:00,Musway Studio,""Trailer (No Copyright Music), Ver. 2"",105814"
"2022-06-07 01:02,Jon Björk,The Battle of Mount Valor,123564"
"2022-06-07 01:05,Conti Music,A Day in the Sun (Happy and Uplifting Royalty Free Music),191815"
"2022-06-07 01:07,Hodges Heard,Love His Mind,117814"
"2022-06-07 01:09,StockXL,Tropical Deep House,120000"
"2022-06-07 01:12,Musway Studio,Dance House,176014"
"2022-06-07 01:13,Billie Pearce,Teodolinda Brunelli,61729"
"2022-06-07 01:16,MokkaMusic,Luminos,129401"
"2022-06-07 01:17,To The Tower,Foggy Figure,85882"
"2022-06-07 01:20,DepasRec,Inspiring Dense Cheerful Minimal,159123"
"2022-06-07 01:22,Florews,Patriot,146257"
"2022-06-07 01:24,Musway Studio,""Cinemtic Ambient (No Copyright Music), Ver. 2"",90825"
"2022-06-07 01:26,Osuna Meyer,She Thinks He's A Gangsta,119976"
"2022-06-07 01:27,Angel Turner,Gear Centaurs,61091"
"2022-06-07 01:28,Billy Atkinson,Crimson Geulimja,61091"
"2022-06-07 01:30,JayJen,Sunlight,145171"
"2022-06-07 01:32,StockXL,Tropical Mood,132501"
"2022-06-07 01:35,Musway Studio,Christmas Holiday,148028"
"2022-06-07 01:36,Lux-Inspira,People Power,82667"
"2022-06-07 01:40,Liborio Conti,Amazing,233326"
"2022-06-07 01:41,Musway Studio,Inspirational Epic (No Copyright Music) - Ver. 2,71796"
"2022-06-07 01:43,Vlad Gluschenko,Spring Walk,125163"
"2022-06-07 01:45,MENESES SCRUGGS,She Knows I Need You,119814"
"2022-06-07 01:48,StockXL,Tropical Inspiring Pop,126512"
"2022-06-07 01:50,Carbone VoSS,He Said You're On My Mind,119814"
"2022-06-07 01:50,Musway Studio,Tropical Dance (No Copyright Music) - Ver. 3,40862"
"2022-06-07 01:51,Alexis Scott,Klepto Clem,61729"
"2022-06-07 01:54,Romansenykmusic,Epic Cinematic Dramatic Adventure Trailer,136236"
"2022-06-07 01:56,Teran Stoner,She Heard I Need You,119814"
"2022-06-07 01:58,MaxKoMusic,Shutter,131814"
"2022-06-07 02:00,StockXL,Background Music For Travel,153287"
"2022-06-07 02:01,Musway Studio,Summer Positive (No Copyright Music) - Ver. 3,35794"
"2022-06-07 02:03,Liborio Conti,Scary,112533"
"2022-06-07 02:05,ScanloN THORSON,I Hope He Likes To Party,125000"
"2022-06-07 02:08,MokkaMusic,Liberty,189327"
"2022-06-07 02:11,Borrtex,Enjoy the Game,173291"
"2022-06-07 02:13,StockXL,The Tropical,120001"
"2022-06-07 02:15,Musway Studio,Ambient (No Copyright Music) - Ver. 1,129811"
"2022-06-07 02:19,Alexander Nakarada,Reaching the Sky - Long Version,253314"
"2022-06-07 02:21,lerralera,Pirates,74002"
"2022-06-07 02:22,Reynard Seidel,Catasterism,108867"
"2022-06-07 02:26,Bob Bradley,Into Battle,190991"
"2022-06-07 02:28,StockXL,Romantic Travel Ambient,132508"
"2022-06-07 02:30,Musway Studio,Merry Christmas,149839"
"2022-06-07 02:33,Austin Fray,Tension and Tasking Strings,133706"
"2022-06-07 02:35,OZO,Bell For The Butler,138740"
"2022-06-07 02:36,Lil Yonk0,Countless Hours,66610"
"2022-06-07 02:38,Zimmerman Whalen,""Babe, You're Wild"",117814"
"2022-06-07 02:40,StockXL,Tropical Inspiring,126723"
"2022-06-07 02:41,Musway Studio,""Fun, Ver. 3"",35005"
"2022-06-07 02:44,Romansenykmusic,Trailer Epic Action,196998"
"2022-06-07 02:46,David Agoglia,Pepperpot,120001"
"2022-06-07 02:48,Chase Kearney,""Sweetie, Come Back"",118000"
"2022-06-07 02:50,Frederic Sans,The Kingdom,129823"
"2022-06-07 02:52,Musway Studio,Inspirational Fantastic Epic,131809"
"2022-06-07 02:54,Mothense,Plumipes,92252"
"2022-06-07 02:56,Romansenykmusic,Successful Business,151579"
"2022-06-07 02:58,J-Eclectic,Falling,104542"
"2022-06-07 02:59,Glenn Burton,Torment Werewolves,61689"
"2022-06-07 03:01,Musway Studio,""Cinemtic Ambient (No Copyright Music), Ver. 1"",134748"
"2022-06-07 03:02,Giorgio Di Campo,Nylon Guitar,53823"
"2022-06-07 03:04,Little Ziegler,I Hope I Love Somebody,117976"
"2022-06-07 03:06,Weis Mcmullen,She Heard I Got It,119814"
"2022-06-07 03:09,Liborio Conti,Tropical,187452"
"2022-06-07 03:12,Musway Studio,Ambient Hip-Hop,155763"
"2022-06-07 03:13,Paul Werner,Heroic Firework,47104"
"2022-06-07 03:15,Wanted Carter,Please Don't Go,120001"
"2022-06-07 03:16,Giorgio Di Campo,Harmonica,54497"
"2022-06-07 03:18,Musway Studio,""Positive (No Copyright Music), Ver. 3"",36804"
"2022-06-07 03:18,ChillMindscapes,Think Of Nostalgia,125098"
"2022-06-07 03:21,Giorgio Di Campo,Viola,48974"
"2022-06-07 03:21,Musway Studio,Summer Positive (No Copyright Music) - Ver. 1,127820"
"2022-06-07 03:25,Conti Music,Acoustic Dreams (Dreamy Royalty Free Music),211012"
"2022-06-07 03:26,Infraction,Titan,89815"
"2022-06-07 03:29,Eoin Mantell,Civilization Meltdown,141814"
"2022-06-07 03:31,Musway Studio,Fantastic Journey,141052"
"2022-06-07 03:33,Stout HoaNG,Sound Of Yesterday,117814"
"2022-06-07 03:35,scaloni split,Días Felices,127431"
"2022-06-07 03:39,Conti Music,Getting There (Cinematic Royalty Free Music),198967"
"2022-06-07 03:41,Romansenykmusic,Anthem of Inspiration,151875"
"2022-06-07 03:44,Musway Studio,Inspirational Epic (No Copyright Music) - Ver. 1,173825"
"2022-06-07 03:47,Brusspup,Over Rain,191439"
"2022-06-07 03:49,Angy O'Letta,Morning Dream,127185"
"2022-06-07 03:51,Worden DILL,She Knows He Belongs On The Streets,120000"
"2022-06-07 03:55,Conti Music,Spring's Reflection (Motivational Royalty Free Music),224688"
"2022-06-07 03:57,Musway Studio,Summer Dance,106812"
"2022-06-07 04:00,Romansenykmusic,Protect Our Home,169338"
